,date,open,high,low,close
143,2022-11-11 18:00:00,16909.31000000,17045.09000000,16802.07000000,16837.11000000
144,2022-11-11 19:00:00,16838.56000000,16893.42000000,16672.29000000,16849.17000000
145,2022-11-11 20:00:00,16849.17000000,16868.17000000,16555.77000000,16626.64000000
146,2022-11-11 21:00:00,16626.64000000,16900.00000000,16614.21000000,16803.15000000
147,2022-11-11 22:00:00,16804.07000000,16989.10000000,16790.00000000,16920.95000000
148,2022-11-11 23:00:00,16922.96000000,17148.96000000,16834.37000000,17070.31000000
149,2022-11-12 00:00:00,17069.98000000,17119.10000000,16857.86000000,16901.29000000
150,2022-11-12 01:00:00,16901.29000000,16932.84000000,16801.17000000,16894.43000000
151,2022-11-12 02:00:00,16893.43000000,17001.98000000,16857.13000000,16890.49000000
152,2022-11-12 03:00:00,16889.02000000,16932.88000000,16774.00000000,16907.44000000
153,2022-11-12 04:00:00,16907.58000000,16938.20000000,16739.29000000,16766.72000000
154,2022-11-12 05:00:00,16766.72000000,16787.56000000,16631.39000000,16703.62000000
155,2022-11-12 06:00:00,16701.86000000,16818.71000000,16676.72000000,16760.30000000
156,2022-11-12 07:00:00,16760.67000000,16872.86000000,16753.73000000,16822.02000000
157,2022-11-12 08:00:00,16822.02000000,16905.85000000,16727.13000000,16842.46000000
158,2022-11-12 09:00:00,16841.35000000,16905.22000000,16800.00000000,16863.98000000
159,2022-11-12 10:00:00,16864.46000000,16977.45000000,16807.13000000,16843.88000000
160,2022-11-12 11:00:00,16842.66000000,16887.51000000,16790.30000000,16866.92000000
161,2022-11-12 12:00:00,16866.46000000,16918.29000000,16809.83000000,16862.99000000
162,2022-11-12 13:00:00,16863.46000000,16869.00000000,16757.00000000,16840.79000000
163,2022-11-12 14:00:00,16839.75000000,16964.90000000,16799.28000000,16900.01000000
164,2022-11-12 15:00:00,16901.33000000,16996.35000000,16873.84000000,16935.74000000
165,2022-11-12 16:00:00,16935.74000000,16964.37000000,16870.01000000,16888.68000000
166,2022-11-12 17:00:00,16889.57000000,16910.83000000,16857.47000000,16891.69000000
167,2022-11-12 18:00:00,16891.69000000,16899.99000000,16830.00000000,16871.49000000
168,2022-11-12 19:00:00,16871.49000000,16902.03000000,16846.82000000,16891.32000000
169,2022-11-12 20:00:00,16892.41000000,16897.68000000,16791.71000000,16820.32000000
170,2022-11-12 21:00:00,16820.98000000,16862.50000000,16767.73000000,16819.64000000
171,2022-11-12 22:00:00,16818.73000000,16858.04000000,16791.00000000,16835.63000000
172,2022-11-12 23:00:00,16835.63000000,16840.15000000,16760.00000000,16812.08000000
173,2022-11-13 00:00:00,16813.16000000,16886.00000000,16774.07000000,16842.60000000
174,2022-11-13 01:00:00,16841.84000000,16905.90000000,16840.10000000,16879.34000000
175,2022-11-13 02:00:00,16878.63000000,16905.19000000,16856.99000000,16895.56000000
176,2022-11-13 03:00:00,16894.79000000,16954.28000000,16865.08000000,16914.60000000
177,2022-11-13 04:00:00,16915.02000000,16926.15000000,16854.16000000,16863.77000000
178,2022-11-13 05:00:00,16864.60000000,16873.12000000,16837.18000000,16853.68000000
179,2022-11-13 06:00:00,16853.68000000,16867.88000000,16680.00000000,16684.45000000
180,2022-11-13 07:00:00,16684.45000000,16801.01000000,16562.82000000,16774.99000000
